"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-07-09","130","104","110"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-07-10","129","99","113"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-07-11","128","102","112"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-07-12","127","99","113"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-07-13","121","103","108"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-07-14","120","99","104"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-07-15","119","98","103"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-07-16","119","95","105"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-07-17","119","97","108"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-07-18","119","101","101"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-07-19","117","88","98"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-07-20","120","90","101"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-07-21","115","98",
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-07-22","119","94","105"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-07-23","118","100","103"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-07-24","114","94","105"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-07-25","118","92","96"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-07-26","101","78","83"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-07-27","112","80","101"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-07-28","119","89","102"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-07-29","117","93","102"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-07-30","109","80","89"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-07-31","103","85","89"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-08-01","115","86","104"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-08-02","120","91","106"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-08-03","122","87","109"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-08-04","126","90","104"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-08-05","122","98","107"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-08-06","118","91","94"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-08-07","115","84","100"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-08-08","119","90","99"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-08-09","118","92","102"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-08-10","120","93","99"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-08-11","117","96","104"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-08-12","116","97","104"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-08-13","117","97","108"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-08-14","118","98","107"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-08-15","122","99","107"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-08-16","120","101","106"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-08-17","117","98","99"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-08-18","108","94","94"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-08-19","104","82","89"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-08-20","108","82","97"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-08-21","109","90","95"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-08-22","109","90","96"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-08-23","111","91","92"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-08-24","112","90","103"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-08-25","116","86","101"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-08-26","113","85","95"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-08-27","116","77","95"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-08-28","118","83","102"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-08-29","119","86","102"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-08-30","120","90","102"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-08-31","111","96","100"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-09-01","109","91","94"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-09-02","110","85","93"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-09-03","108","83","90"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-09-04","112","75","94"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-09-05","116","77","98"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-09-06","119","80","102"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-09-07","122","86","103"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-09-08","120","86","106"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-09-09","118","98","101"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-09-10","115","91","100"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-09-11","113","93","95"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-09-12","114","90","96"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-09-13","114","84","96"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-09-14","112","83","93"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-09-15","111","74","90"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-09-16","105","84","86"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-09-17","106","72","94"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-09-18","105","87","90"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-09-19","100","81","87"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-09-20","102","81","81"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-09-21","107","77","88"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-09-22","104","70","88"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-09-23","108","73","87"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-09-24","110","79","91"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-09-25","107","80","94"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-09-26","107","85","94"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-09-27","101","85","90"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-09-28","98","81","83"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-09-29","94","75","82"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-09-30","97","72","78"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-10-01","100","63","78"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-10-02","101","64","80"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-10-03","103","67","87"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-10-04","100","69","78"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-10-05","96","67","82"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-10-06","97","74","83"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-10-07","97","72","83"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-10-08","90","75","75"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-10-09","90","68","79"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-10-10","93","70","73"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-10-11","87","61","63"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-10-12","80","61","67"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-10-13","81","56","65"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-10-14","88","53","77"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-10-15","89","65","69"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-10-16","94","60","72"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-10-17","92","55","80"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-10-18","83","65","66"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-10-19","83","53","68"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-10-20","83","55","66"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-10-21","87","58","71"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-10-22","88","58","78"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-10-23","88","72","76"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-10-24","84","70","82"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-10-25","82","61","63"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-10-26","81","51","66"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-10-27","86","55","68"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-10-28","94","58","75"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-10-29","94","62","71"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-10-30","90","59","74"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-10-31","90","62","78"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-11-01","86","63","68"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-11-02","86","57","72"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-11-03","90","57","74"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-11-04","87","59","68"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-11-05","90","56","69"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-11-06","87","57","70"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-11-07","87","58","73"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-11-08","86","63","66"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-11-09","86","61","64"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-11-10","83","58","79"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-11-11","92","68","73"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-11-12","94","62","71"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-11-13","91","57","66"
