"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT04","WT05","WT08","WT09"
"USW00025333","SITKA AIRPORT, AK US","2021-04-15","1.12"," 1259","0.00",,"48","39","  230","  220","6.9","8.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-04-16","2.01"," 1823","0.00",,"50","36","  330","  330","6.9","8.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-04-17","0.89"," 2030","0.00",,"56","37","  220","  100","6.9","8.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-04-18","6.93"," 1043","0.00",,"67","41","   80","  110","15.0","19.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-04-19","3.58"," 1134","0.00",,"61","46","  230","  230","14.1","17.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-04-20","9.40"," 1509","0.00",,"51","42","  280","  280","19.9","21.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-04-21","6.71"," 1512","0.00",,"57","41","  330","  330","19.9","23.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-04-22","3.80"," 1413","0.00",,"52","37","  230","  230","10.1","12.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-04-23",,,"0.00",,,"37",,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-04-24","4.92"," 1053","0.00",,"63","42","  130","  120","13.0","18.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-04-25","2.91"," 2207","0.00",,"60","41","   90","  100","8.1","10.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-04-26","2.01"," 1736","0.00",,"53","39","  230","  230","8.9","11.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-04-27","9.17"," 1045","0.23",,"50","45","  110","  110","21.0","25.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-04-28","5.82"," 1321","0.17",,"51","44","  310","  330","12.1","14.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-04-29","7.61"," 1624","0.94",,"48","44","  220","  200","18.1","21.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-04-30","6.71"," 0514","0.79",,"47","43","  110","  120","15.0","19.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-05-01","6.04"," 0046","0.06",,"48","37","  300","  300","15.0","16.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-05-02","7.38"," 1509","0.00",,"50","38","  140","  140","19.9","25.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-05-03","7.61"," 1533","0.38",,"49","44","  190","  190","18.1","25.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-05-04","4.92"," 0011","0.37",,"48","42","  130","  110","13.0","17.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-05-05","6.71"," 2127","0.00",,"55","41","  130","  100","16.1","23.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-05-06","8.50"," 0543","0.03",,"63","46","  110","  100","21.0","28.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-05-07","3.36"," 1329","0.00",,"56","45","  230","  260","13.0","15.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-05-08","5.82"," 1149","0.07",,"50","46","  210","  210","15.0","19.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-05-09","4.92"," 0035","0.12",,"49","43","  300","  300","16.1","18.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-05-10","8.05"," 1856","0.00",,"52","42","  110","  100","18.1","23.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-05-11","5.59"," 0118","0.03",,"49","45","  200","  200","19.9","25.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-05-12","4.25"," 1646","0.14",,"49","43","  270","  230","8.9","13.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-05-13","7.61"," 1523","0.33",,"47","43","  190","  200","16.1","21.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-05-14","9.84"," 1112","0.78",,"49","45","  110","  200","17.0","21.9","    1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-05-15","9.40"," 0425","0.32",,"48","42","  220","  180","16.1","19.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-05-16","6.49"," 1528","0.02",,"49","39","  330","  330","12.1","16.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-05-17","7.38"," 1344","0.00",,"52","36","  290","  330","18.1","21.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-05-18","10.74"," 1855","0.00",,"56","38","  310","  300","21.9","25.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-05-19","9.62"," 1725","0.00",,"57","46","  300","  310","18.1","21.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-05-20","5.59"," 2046","0.00",,"52","41","  210","  200","14.1","16.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-05-21","10.07"," 0637","0.38",,"53","47","  120","  110","23.0","31.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-05-22","7.61"," 0935","0.63",,"49","45","  170","  170","17.0","25.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-05-23","6.04"," 2140","0.07",,"53","44","  310","  320","13.0","13.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-05-24","6.04"," 1159","0.01",,"50","44","  310","  310","14.1","15.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-05-25","5.82"," 1414","0.05",,"51","43","  200","  190","14.1","17.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-05-26","6.04"," 1738","0.00",,"51","45","  330","  340","15.0","17.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-05-27","8.05"," 2355","0.00",,"51","44","  320","  240","14.1","19.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-05-28","9.17"," 1254","0.32",,"49","45","  190","  190","19.9","28.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-05-29","12.30"," 2153","0.03",,"57","47","  130","  130","21.0","25.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-05-30","7.16"," 0158","0.17",,"58","50","  100","  100","16.1","19.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-05-31","11.41"," 2042","0.79",,"58","51","  110","  200","23.0","31.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-06-01","3.58"," 0008","0.02",,"56","50","  210","  210","15.0","19.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-06-02","11.18"," 2150","0.22",,"53","49","  190","  180","21.0","25.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-06-03","6.93"," 0110","0.50",,"51","47","  190","  190","17.0","23.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-06-04","5.37"," 0829","0.05",,"56","47","  100","  100","21.9","27.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-06-05","5.82"," 1956","0.01",,"58","47","  320","  300","14.1","15.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-06-06","3.36"," 1006","0.00",,"54","48","  230","  270","8.1","8.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-06-07","3.80"," 1555","0.00",,"58","48","  210","  210","8.9","11.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-06-08","3.58"," 1506","0.00",,"59","46","  230","  220","8.9","12.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-06-09","6.49"," 1035","0.00",,"53","49","  220","  220","14.1","17.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-06-10","2.91"," 1916","0.00",,"55","50","  320","  340","12.1","14.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-06-11","4.47"," 1718","0.00",,"59","50","  310","  290","16.1","19.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-06-12","3.58"," 0305","0.00",,"61","47","  320","  330","8.9","11.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-06-13","6.93"," 1607","0.00",,"67","49","  300","  310","19.9","21.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-06-14","3.80"," 1405","0.00",,"64","53","  230","  230","13.0","15.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-06-15","9.62"," 1922","0.05",,"58","54","  190","  210","16.1","21.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-06-16","4.25"," 0011","0.00",,"60","52","  190","  190","13.0","18.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-06-17","6.26"," 1152","0.00",,"66","53","  230","  230","14.1","16.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-06-18","6.93"," 1148","0.08",,"58","52","  190","  190","21.9","27.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-06-19","5.59"," 2120","0.00",,"68","49","  330","  200","12.1","13.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-06-20","9.84"," 1931","0.72",,"59","52","  200","  200","25.1","33.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-06-21","7.16"," 0544","0.08",,"55","50","  230","  230","15.0","17.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-06-22","2.01"," 1144","0.02",,"56","49","  230","  240","6.9","8.1","    1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-06-23","5.82"," 2332","0.95",,"63","52","  170","  160","21.9","29.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-06-24","12.53"," 0600","1.51",,"63","55","  190","  190","28.0","38.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-06-25","6.26"," 1253","0.06",,"59","55","  220","  220","23.0","29.1","    1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-06-26","4.70"," 2226","0.00",,"63","54","  330","  330","8.9","11.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-06-27","4.25"," 1848","0.00",,"78","54","  330","  330","17.0","19.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-06-28","9.17"," 1547","0.00",,"75","57","  320","  320","23.0","25.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-06-29","13.65"," 1345","0.00",,"61","54","  300","  300","21.9","23.0","    1",,,,"    1",
"USW00025333","SITKA AIRPORT, AK US","2021-06-30","11.63"," 1229","0.00",,"62","53","  300","  290","17.0","19.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-07-01","9.84"," 1426","0.01",,"61","53","  300","  300","17.0","19.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-07-02","8.28"," 0837","0.00",,"60","52","  310","  310","14.1","15.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-07-03","9.62"," 1917","0.00",,"66","54","  330","  330","21.0","23.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-07-04","12.53"," 1519","0.00",,"60","55","  310","  310","19.9","21.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-07-05","11.63"," 1700","0.00",,"65","55","  300","  310","19.9","23.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-07-06","8.72"," 0229","0.00",,"59","54","  330","  330","15.0","17.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-07-07","4.03"," 1416","0.00",,"58","53","  230","  230","12.1","13.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-07-08","3.58"," 1051","0.07",,"58","53","  210","  260","8.9","12.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-07-09","4.70"," 0118","0.10",,"57","53","  190","  190","14.1","19.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-07-10","3.80"," 0920","0.00",,"60","51","  290","  280","10.1","12.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-07-11","8.05"," 1505","0.01",,"60","51","  200","  200","19.9","28.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-07-12","9.40"," 0423","0.29",,"60","54","  110","  110","19.9","25.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-07-13","4.70"," 1650","0.13",,"57","52","  230","  230","12.1","13.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-07-14","2.68"," 0242","0.21",,"58","51","  230","   90","6.9","10.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-07-15","3.58"," 0755","0.10",,"60","50","  330","  340","10.1","11.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-07-16","2.68"," 1504","0.03",,"61","54","  220","  230","8.1","8.9","    1",,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-07-17","2.24"," 1429","0.05",,"63","56","  300","  240","6.9","10.1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-07-18","1.57"," 1405","0.04",,"63","57","  220","  220","6.9","8.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-07-19","7.61"," 1650","0.00",,"70","55","  310","  320","21.0","21.9",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-07-20","9.17"," 0426","0.00",,"64","56","  330","  330","16.1","19.0",,,,,,
"USW00025333","SITKA AIRPORT, AK US","2021-07-21","5.37"," 1521","0.01",,"59","54","  230","  230","13.0","15.0",,,,,,
